INDNO,DlyCalDt,DlyTotRet,DlyTotInd,DlyIncRet,DlyUsdCnt,DlyTotVal
1000500,1990-10-02,0.001148,569.95,0.000008,500,2064752677
1000500,1990-10-03,-0.011617,563.33,0.000638,500,2039417513
1000500,1990-10-04,0.003727,565.43,0.000031,500,2046955036
1000500,1990-10-05,-0.003797,563.28,0.000021,500,2039146378
1000500,1990-10-08,0.006508,566.95,0.000000,500,2053031786
1000500,1990-10-09,-0.026728,551.79,0.000078,500,1997893398
1000500,1990-10-10,-0.015817,543.07,0.000012,500,1966267497
1000500,1990-10-11,-0.016247,534.24,0.000009,500,1934304243
1000500,1990-10-12,0.015266,542.40,0.000000,500,1963833831
1000500,1990-10-15,0.011403,548.58,0.000232,500,1985771281
1000500,1990-10-16,-0.014599,540.57,0.000036,500,1956993783
1000500,1990-10-17,-0.000302,540.41,0.000046,500,1956316742
1000500,1990-10-18,0.023718,553.23,0.000019,500,2002679685
1000500,1990-10-19,0.020957,564.82,0.000033,500,2044583511
1000500,1990-10-22,0.008612,569.69,0.000121,500,2061899484
1000500,1990-10-23,-0.007206,565.58,0.000007,500,2047025729
1000500,1990-10-24,0.000607,565.93,0.000040,500,2048092583
1000500,1990-10-25,-0.007662,561.59,0.000067,500,2032264177
1000500,1990-10-26,-0.017548,551.73,0.000242,500,1996110349
1000500,1990-10-29,-0.009214,546.65,0.000213,500,1977294026
1000500,1990-10-30,0.007680,550.85,0.000288,500,1991908422
1000500,1990-10-31,-0.000358,550.65,0.000014,500,1991168898
1000500,1990-11-01,0.009940,556.13,0.000187,500,2010588725
1000500,1990-11-02,0.016131,565.10,0.000114,500,2042791932
1000500,1990-11-05,0.009769,570.62,0.001306,500,2060079019
1000500,1990-11-06,-0.009249,565.34,0.000238,500,2040533941
1000500,1990-11-07,-0.017712,555.33,0.000089,500,2004211652
1000500,1990-11-08,0.006007,558.66,0.000520,500,2015209593
1000500,1990-11-09,0.020207,569.95,0.000466,500,2054990711
1000500,1990-11-12,0.018681,580.60,0.000000,500,2093379676
1000500,1990-11-13,-0.005199,577.58,0.000157,500,2082167568
1000500,1990-11-14,0.008312,582.38,0.000173,500,2099115978
1000500,1990-11-15,-0.010090,576.50,0.000047,500,2077836677
1000500,1990-11-16,0.000220,576.63,0.000318,500,2077631201
1000500,1990-11-19,0.007167,580.76,0.000041,500,2092435316
1000500,1990-11-20,-0.011892,573.86,0.000019,500,2067514027
1000500,1990-11-21,0.001964,574.98,0.000072,500,2071426835
1000500,1990-11-23,-0.003092,573.21,0.000008,500,2065006966
1000500,1990-11-26,0.004293,575.67,0.000348,500,2073153888
1000500,1990-11-27,0.005646,578.92,0.000385,500,2084061410
1000500,1990-11-28,-0.000538,578.61,0.000025,500,2082887268
1000500,1990-11-29,-0.004963,575.73,0.000020,500,2072509208
1000500,1990-11-30,0.018308,586.27,0.000009,500,2110446024
1000500,1990-12-03,0.007021,590.39,0.000708,500,2124071356
1000500,1990-12-04,0.007822,595.01,0.000191,500,2140279418
1000500,1990-12-05,0.010612,601.32,0.000013,500,2162828506
1000500,1990-12-06,-0.002501,599.82,0.000057,500,2157295727
1000500,1990-12-07,-0.004035,597.40,0.000040,500,2148502814
1000500,1990-12-10,0.003375,599.41,0.000186,500,2155356344
1000500,1990-12-11,-0.006350,595.61,0.000389,500,2140831383
1000500,1990-12-12,0.011102,602.22,0.000006,500,2165993136
1000500,1990-12-13,-0.002291,600.84,0.000056,500,2160907600
1000500,1990-12-14,-0.007641,596.25,0.000002,500,2144392583
1000500,1990-12-17,-0.002790,594.59,0.000055,500,2138291229
1000500,1990-12-18,0.012736,602.16,0.000062,500,2165392061
1000500,1990-12-19,-0.000146,602.07,0.000061,500,2164942594
1000500,1990-12-20,0.000447,602.34,0.000002,500,2165904826
1000500,1990-12-21,0.004743,605.20,0.000004,500,2176157800
1000500,1990-12-24,-0.004401,602.53,0.000738,500,2164972453
1000500,1990-12-26,0.002696,604.16,0.000077,500,2170641216
1000500,1990-12-27,-0.007443,599.66,0.000028,500,2154424620
1000500,1990-12-28,0.000639,600.04,0.000299,500,2155115185
1000500,1990-12-31,0.004328,602.64,0.000008,500,2157632801
1000500,1991-01-02,-0.010853,596.10,0.000024,500,2134165945
1000500,1991-01-03,-0.013455,588.08,0.000018,500,2105413853
1000500,1991-01-04,-0.002580,586.56,0.000347,500,2099253275
1000500,1991-01-07,-0.017326,576.40,0.000207,500,2062446769
1000500,1991-01-08,-0.001690,575.43,0.000005,500,2058952119
1000500,1991-01-09,-0.011018,569.09,0.000077,500,2036109288
